Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
u718633rwt.ha004.t.justns.ru,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,1
xn--fhrerscheinmpuhaben-59b.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,5,0,1
u708953pu8.ha004.t.justns.ru,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,0,0,1
portraitomar.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
martazancanaro.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
online-microsofts.dns.navy,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1
microsoft-adminer.dns.army,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,2,0,0,0,1,0,1
microsft-suppoting.dns.army,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,2,0,0,0,1,0,1
maciel.med.br,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,1,0,1
live-microsoft.dns.army,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,2,0,0,0,1,0,1
equinnoschcap.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
denser-recognition.000webhostapp.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
buildevolution.online,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,5,0,0,0,2,0,1
buildevolution.online,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,5,0,0,0,2,0,1
81cbd50754804973894115930bc620f5.testing-url.ws,0,0,1,6,0,0,0,1,0,1,1,1,1,1,1,1,1,8,0,0,0,1,0,1
81cbd50754804973894115930bc620f5.testing-url.ws,0,0,1,6,0,0,0,1,0,1,1,1,1,1,1,1,1,8,0,0,0,1,0,1
toaletaeco.ro,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
toaletaeco.ro,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
toaletaeco.ro,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
toaletaeco.ro,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
toaletaeco.ro,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
toaletaeco.ro,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
toaletaeco.ro,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
